Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2007","2007","3050","FAO TIER 1","mil toneladas","4.1649","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2007","2007","3050","FAO TIER 1","mil toneladas","168.2362","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2008","2008","3050","FAO TIER 1","mil toneladas","4.2305","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2008","2008","3050","FAO TIER 1","mil toneladas","170.8859","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2009","2009","3050","FAO TIER 1","mil toneladas","4.237","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2009","2009","3050","FAO TIER 1","mil toneladas","171.1467","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2010","2010","3050","FAO TIER 1","mil toneladas","4.2915","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2010","2010","3050","FAO TIER 1","mil toneladas","173.3475","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2011","2011","3050","FAO TIER 1","mil toneladas","4.3056","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2011","2011","3050","FAO TIER 1","mil toneladas","173.9183","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2012","2012","3050","FAO TIER 1","mil toneladas","4.3349","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2012","2012","3050","FAO TIER 1","mil toneladas","175.1006","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2013","2013","3050","FAO TIER 1","mil toneladas","4.3559","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2013","2013","3050","FAO TIER 1","mil toneladas","175.9511","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2014","2014","3050","FAO TIER 1","mil toneladas","4.3926","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2014","2014","3050","FAO TIER 1","mil toneladas","177.4324","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2015","2015","3050","FAO TIER 1","mil toneladas","4.4416","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2015","2015","3050","FAO TIER 1","mil toneladas","179.4109","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2016","2016","3050","FAO TIER 1","mil toneladas","4.4994","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2016","2016","3050","FAO TIER 1","mil toneladas","181.7478","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2017","2017","3050","FAO TIER 1","mil toneladas","4.5291","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2017","2017","3050","FAO TIER 1","mil toneladas","182.9475","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2018","2018","3050","FAO TIER 1","mil toneladas","4.5717","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2018","2018","3050","FAO TIER 1","mil toneladas","184.6661","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2019","2019","3050","FAO TIER 1","mil toneladas","4.6334","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2019","2019","3050","FAO TIER 1","mil toneladas","187.159","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","2020","2020","3050","FAO TIER 1","mil toneladas","4.7102","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","2020","2020","3050","FAO TIER 1","mil toneladas","190.2607","E","Valor estimado",""
