Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2008","2008","3050","FAO TIER 1","mil toneladas","3.782","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2008","2008","3050","FAO TIER 1","mil toneladas","6.2392","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2009","2009","3050","FAO TIER 1","mil toneladas","3.8262","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2009","2009","3050","FAO TIER 1","mil toneladas","6.3122","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2010","2010","3050","FAO TIER 1","mil toneladas","3.8846","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2010","2010","3050","FAO TIER 1","mil toneladas","6.4085","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2011","2011","3050","FAO TIER 1","mil toneladas","3.9363","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2011","2011","3050","FAO TIER 1","mil toneladas","6.4937","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2012","2012","3050","FAO TIER 1","mil toneladas","3.9997","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2012","2012","3050","FAO TIER 1","mil toneladas","6.5984","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2013","2013","3050","FAO TIER 1","mil toneladas","4.0357","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2013","2013","3050","FAO TIER 1","mil toneladas","6.6578","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2014","2014","3050","FAO TIER 1","mil toneladas","4.0423","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2014","2014","3050","FAO TIER 1","mil toneladas","6.6687","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2015","2015","3050","FAO TIER 1","mil toneladas","4.0964","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2015","2015","3050","FAO TIER 1","mil toneladas","6.758","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2016","2016","3050","FAO TIER 1","mil toneladas","4.2018","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2016","2016","3050","FAO TIER 1","mil toneladas","6.9318","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2017","2017","3050","FAO TIER 1","mil toneladas","4.2913","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2017","2017","3050","FAO TIER 1","mil toneladas","7.0795","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2018","2018","3050","FAO TIER 1","mil toneladas","4.4077","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2018","2018","3050","FAO TIER 1","mil toneladas","7.2714","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2019","2019","3050","FAO TIER 1","mil toneladas","4.5298","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2019","2019","3050","FAO TIER 1","mil toneladas","7.4729","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2020","2020","3050","FAO TIER 1","mil toneladas","4.6329","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2020","2020","3050","FAO TIER 1","mil toneladas","7.643","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2021","2021","3050","FAO TIER 1","mil toneladas","4.7663","E","Valor estimado",""
